CODIGO;DESCRICAO;  CUSTO   
300579; CINZA LAM WARM GRAY 1-C  11/7 ; 18,68 
300580; LARANJA MONO LAM 166-C  8/2 ; 29,62 
300581; LARANJA MONO LAM 350-C ; 24,05 
300582; LARANJA MONO LAM BLUE STAR-C ; 21,18 
300583; LARANJA MONO LAM 145-C  215 ; 22,82 
300584; LARANJA MONO LAM 1585-C  8/4 ; 24,49 
300585; LARANJA MONO LAM FIRENZE-C ; 22,66 
300586; LARANJA MONO LAM 143-C  11/23 ; 23,59 
300587; LARANJA MONO LAM 152-C 25/06 ; 24,78 
300588; LARANJA MONO LAM 1525-C  66 ; 24,09 
300589; LARANJA MONO LAM S. LUCIA-C ; 20,85 
300590; LARANJA MONO LAM 7410-C ; 15,41 
300591; LARANJA MONO LAM 1535-C 99 ; 23,00 
300592; LARANJA MONO LAM PITUKATS-C ; 24,21 
300593; OCRE MONO EXTERNO 147-C ; 26,07 
300594; LARANJA LAM 1655-C  84 ; 30,29 
300595; LARANJA MONO LAM 021-C  85 ; 32,98 
300596; LARANJA MONO LAM 165-C  180 ; 28,24 
300597; LARANJA MONO LAM 172-C 9/25 ; 25,65 
300598; LARANJA MONO LAM 138-C  87 ; 26,03 
300599; LARANJA MONO LAM 151-C  88 ; 30,51 
300600; LARANJA MONO LAM 1665-C      8/30 ; 26,14 
300601; LARANJA MONO LAM 158-C  149 ; 29,14 
300602; LARANJA MONO LAM 157-C  3 ; 20,41 
300603; LARANJA MONO LAM 716-C    8/29 ; 26,26 
300604; LARANJA MONO LAM 1495-C  8/38 ; 28,56 
300605; LARANJA MONO LAM 1595-C 7/25 ; 30,07 
300606; LARANJA MONO LAM 159-C ; 25,45 
300607; LARANJA MONO LAM 1505-C 1/29 ; 27,28 
300608; LARANJA LAM 1575-C HUBER 18/05 ; 26,66 
300609; LILAS MONO LAM 2583-C  7/35 ; 24,80 
300610; LILAS MONO LAM 2603-C ; 31,45 
300611; LILAS MONO LAM 234-C ; 39,85 
300612; LILAS MONO LAM 2593-C ; 51,69 
300613; LILAS MONO LAM 2587-C  154 ; 27,24 
300614; LILAS MONO LAM 264-C ; 14,46 
300615; LILAS MONO LAM 260-C ; 20,72 
300616; LILAS MONO LAM 2725-C ; 21,69 
300617; LILAS MONO LAM 268-C 111 ; 37,80 
300618; LILAS MONO LAM 2415-C  5/22 ; 24,68 
300619; LILAS MONO LAM 2623-C  10/38 ; 40,48 
300620; LILAS MONO LAM 269-C  7/39 ; 19,23 
300621; LILAS MONO LAM  2607-C ; 44,46 
300622; LILAS MONO LAM 265-C ; 23,62 
300623; LILAS MONO LAM 255-C  2/36 ; 18,52 
300625; LILAS MONO LAM 2592-C ; 25,44 
300626; LILAS MONO LAM 2665-C 10/31 ; 24,75 
300627; MARROM LAM 4705-C  ; 21,60 
300628; MARROM LAM P.BRANCO 2472-C  294 ; 24,51 
300629; MARROM MONO LAM NORDESTE-C ; 16,91 
300630; MARROM MONO LAM 484-C  49 ; 27,27 
300632; AZUL LAM MEU SABOR(P2767) ; 32,98 
300633; MARROM MONO LAM 463-C ; 23,30 
300634; MARROM CROMIA LAM 1817-C  289 ; 21,57 
300635; MARROM MONO LAM 478-C  10/34 ; 26,86 
300636; MARROM MONO LAM 483-C   ; 25,93 
300637; MARROM MONO LAM 181-C ; 24,66 
300638; MARROM MONO LAM 154-C ; 23,99 
300639; MARROM MONO LAM 465-C  16/38 ; 19,61 
300642; MARROM MONO LAM 499-C ; 22,80 
300643; MARROM MONO LAM 490-C ; 29,55 
300644; MARROM MONO LAM 492-C 236 ; 19,67 
300645; MARROM MONO LAM 1815-C  15/29 ; 27,43 
